"","Tinamus_major","Crypturellus_berlepschi","Crypturellus_soui","Odontophorus_erythrops","Rhynchortyx_cinctus","Ortalis_erythroptera","Crax_rubra","Aburria_aburri","Penelope_ortoni","Penelope_purpurascens","Nyctibius_griseus","Nyctiphrynus_rosenbergi","Nyctidromus_albicollis","Florisuga_mellivora","Heliodoxa_jacula","Amazilia_tzacatl","Damophila_julie","Amazilia_rosenbergi","Amazilia_amabilis","Amazilia_franciae","Thalurania_colombica","Heliomaster_longirostris","Anthracothorax_nigricollis","Heliothryx_barroti","Androdon_aequatorialis","Phaethornis_yaruqui","Phaethornis_striigularis","Glaucis_aeneus","Threnetes_ruckeri","Eutoxeres_aquila","Panyptila_cayennensis","Chaetura_cinereiventris","Chaetura_spinicaudus","Streptoprocne_zonaris","Vanellus_chilensis","Falco_rufigularis","Herpetotheres_cachinnans","Micrastur_plumbeus","Micrastur_semitorquatus","Micrastur_ruficollis","Touit_dilectissimus","Forpus_coelestis","Pyrrhura_melanura","Aratinga_erythrogenys","Ara_ambiguus","Ara_severus","Pyrilia_pulchra","Pionus_menstruus","Pionus_chalcopterus","Amazona_autumnalis","Amazona_farinosa","Sapayoa_aenigma","Ampelioides_tschudii","Cephalopterus_penduliger","Querula_purpurata","Lipaugus_unirufus","Manacus_manacus","Lepidothrix_coronata","Pipra_mentalis","Xenopipo_holochlora","Masius_chrysopterus","Platyrinchus_coronatus","Platyrinchus_mystaceus","Myiotriccus_ornatus","Capsiempis_flaveola","Phyllomyias_griseiceps","Elaenia_flavogaster","Tyrannulus_elatus","Myiopagis_caniceps","Myiopagis_viridicata","Myiopagis_subplacens","Ornithion_brunneicapillus","Camptostoma_obsoletum","Zimmerius_albigularis","Zimmerius_chrysops","Rhytipterna_holerythra","Myiarchus_tuberculifer","Sirystes_albogriseus","Legatus_leucophaius","Myiodynastes_maculatus","Megarynchus_pitangua","Tyrannus_melancholicus","Tyrannus_niveigularis","Myiozetetes_granadensis","Myiozetetes_similis","Myiozetetes_cayanensis","Attila_spadiceus","Attila_torridus","Mitrephanes_phaeocercus","Empidonax_virescens","Empidonax_alnorum","Contopus_cooperi","Contopus_virens","Contopus_sordidulus","Myiophobus_fasciatus","Fluvicola_nengeta","Pyrocephalus_rubinus","Colonia_colonus","Conopias_albovittatus","Cnipodectes_subbrunneus","Todirostrum_cinereum","Todirostrum_nigriceps","Lophotriccus_pileatus","Myiornis_atricapillus","Rhynchocyclus_pacificus","Tolmomyias_assimilis","Mionectes_olivaceus","Mionectes_oleagineus","Leptopogon_superciliaris","Tityra_semifasciata","Tityra_inquisitor","Pachyramphus_albogriseus","Pachyramphus_cinnamomeus","Pachyramphus_homochrous","Pachyramphus_spodiurus","Schiffornis_turdina","Myiobius_atricaudus","Myiobius_sulphureipygius","Terenotriccus_erythrurus","Thamnistes_anabatinus","Taraba_major","Cymbilaimus_lineatus","Dysithamnus_puncticeps","Dysithamnus_mentalis","Thamnophilus_atrinucha","Cercomacra_tyrannina","Phaenostictus_mcleannani","Gymnopithys_leucaspis","Myrmeciza_immaculata","Myrmeciza_nigricauda","Myrmeciza_berlepschi","Myrmeciza_exsul","Hylophylax_naevioides","Myrmotherula_schisticolor","Myrmotherula_axillaris","Myrmotherula_ignota","Myrmotherula_pacifica","Microrhopias_quixensis","Epinecrophylla_fulviventris","Terenura_callinota","Pittasoma_rufopileatum","Glyphorynchus_spirurus","Campylorhamphus_pusillus","Campylorhamphus_trochilirostris","Lepidocolaptes_souleyetii","Xiphorhynchus_lachrymosus","Xiphorhynchus_erythropygius","Dendrocolaptes_sanctithomae","Sittasomus_griseicapillus","Dendrocincla_fuliginosa","Xenops_minutus","Xenops_rutilans","Furnarius_leucopus","Synallaxis_brachyura","Cranioleuca_erythrops","Xenerpestes_minlosi","Premnoplex_brunnescens","Anabacerthia_variegaticeps","Automolus_ochrolaemus","Hyloctistes_subulatus","Automolus_rubiginosus","Sclerurus_mexicanus","Sclerurus_guatemalensis","Formicarius_nigricapillus","Scytalopus_chocoensis","Grallaria_guatimalensis","Hylopezus_perspicillatus","Vireolanius_leucotis","Vireo_olivaceus","Hylophilus_decurtatus","Hylophilus_ochraceiceps","Pygochelidon_cyanoleuca","Neochelidon_tibialis","Stelgidopteryx_ruficollis","Progne_chalybea","Ramphocaenus_melanurus","Polioptila_schistaceigula","Polioptila_plumbea","Microbates_cinereiventris","Thryothorus_leucopogon","Thryothorus_nigricapillus","Henicorhina_leucosticta","Cyphorhinus_phaeocephalus","Troglodytes_aedon","Campylorhynchus_zonatus","Microcerculus_marginatus","Odontorchilus_branickii","Turdus_assimilis","Turdus_obsoletus","Turdus_maculirostris","Catharus_ustulatus","Euphonia_saturata","Euphonia_laniirostris","Euphonia_minuta","Euphonia_xanthogaster","Euphonia_fulvicrissa","Carduelis_xanthogastra","Zonotrichia_capensis","Arremon_aurantiirostris","Chlorospingus_flavovirens","Chlorospingus_flavigularis","Chlorospingus_canigularis","Arremonops_conirostris","Cacicus_uropygialis","Cacicus_cela","Psarocolius_wagleri","Amblycercus_holosericeus","Dives_warszewiczi","Molothrus_bonariensis","Icterus_mesomelas","Geothlypis_semiflava","Parula_pitiayumi","Phaeothlypis_fulvicauda","Basileuterus_chrysogaster","Wilsonia_canadensis","Hemithraupis_guira","Heterospingus_xanthopygius","Chrysothlypis_salmoni","Chlorophanes_spiza","Tachyphonus_luctuosus","Tachyphonus_delatrii","Ramphocelus_flammigerus","Tachyphonus_rufus","Volatinia_jacarina","Cyanerpes_caeruleus","Dacnis_lineata","Dacnis_cayana","Dacnis_berlepschi","Dacnis_venusta","Tersina_viridis","Oryzoborus_funereus","Oryzoborus_angolensis","Oryzoborus_crassirostris","Sporophila_nigricollis","Sporophila_corvina","Saltator_grossus","Saltator_maximus","Saltator_atripennis","Mitrospingus_cassinii","Chlorophonia_flavirostris","Tiaris_obscurus","Tiaris_olivaceus","Coereba_flaveola","Tangara_icterocephala","Tangara_florida","Tangara_johannae","Tangara_gyrola","Tangara_lavinia","Tangara_palmeri","Tangara_larvata","Tangara_cyanicollis","Thraupis_palmarum","Thraupis_episcopus","Cyanocompsa_cyanoides","Chlorothraupis_olivacea","Chlorothraupis_stolzmanni","Piranga_rubra","Passer_domesticus","Glaucidium_peruanum","Pulsatrix_perspicillata","Strix_virgata","Strix_nigrolineata","Megascops_guatemalae","Trogon_chionurus","Trogon_comptus","Trogon_caligatus","Trogon_massena","Trogon_rufus","Trogon_collaris","Megaceryle_torquata","Momotus_momota","Baryphthengus_martii","Electron_platyrhynchum","Notharchus_pectoralis","Notharchus_tectus","Notharchus_hyperrhynchus","Micromonacha_lanceolata","Malacoptila_panamensis","Nystalus_radiatus","Galbula_ruficauda","Jacamerops_aureus","Ramphastos_brevis","Ramphastos_ambiguus","Pteroglossus_torquatus","Aulacorhynchus_haematopygus","Eubucco_bourcierii","Capito_squamatus","Picumnus_olivaceus","Campephilus_gayaquilensis","Campephilus_haematogaster","Colaptes_rubiginosus","Piculus_litae","Celeus_loricatus","Dryocopus_lineatus","Veniliornis_kirkii","Veniliornis_callonotus","Melanerpes_pucherani","Coragyps_atratus","Leptodon_cayanensis","Chondrohierax_uncinatus","Elanoides_forficatus","Spizaetus_tyrannus","Spizaetus_ornatus","Ictinia_plumbea","Geranospiza_caerulescens","Rostrhamus_sociabilis","Leucopternis_princeps","Leucopternis_semiplumbeus","Buteo_nitidus","Buteo_brachyurus","Buteo_magnirostris","Leucopternis_plumbeus","Harpagus_bidentatus","Accipiter_bicolor","Columbina_buckleyi","Claravis_pretiosa","Leptotila_verreauxi","Leptotila_pallida","Geotrygon_saphirina","Geotrygon_veraguensis","Geotrygon_montana","Patagioenas_cayennensis","Patagioenas_goodsoni","Patagioenas_speciosa","Patagioenas_subvinacea","Aramides_wolfi","Laterallus_albigularis","Porphyrio_martinica","Gallinula_chloropus","Piaya_cayana","Tapera_naevia","Neomorphus_radiolosus","Crotophaga_ani","Bubulcus_ibis"
"OG52",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2,0,1,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"PR19",3,0,3,1,0,0,0,0,0,0,0,0,0,0,1,4,0,0,0,0,2,0,0,0,0,6,0,1,3,0,1,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,2,0,0,0,0,2,0,12,0,0,0,0,1,0,3,0,0,0,14,1,0,0,0,0,1,0,2,0,0,3,0,0,2,0,1,0,0,3,0,0,3,0,0,0,0,0,1,0,0,0,0,0,0,4,1,0,0,1,8,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,8,5,0,0,0,0,0,10,0,0,3,1,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,2,0,2,0,0,3,0,0,0,2,0,0,0,2,0,2,0,0,0,0,0,0,1,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,5,1,5,0,0,0,0,0,1,2,4,0,0,0,0,0,0,0,3,0,0,0,0,0,0,5,0,0,0,0,0,0,2,1,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,11,0,0,4,6,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,2,3,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0
"PR20",1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,4,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,4,2,0,0,7,0,0,0,0,7,0,0,1,17,3,0,0,0,0,0,0,10,0,0,0,0,0,0,4,0,10,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,2,0,0,0,0,6,0,1,0,0,0,7,1,5,2,0,0,0,0,0,13,0,0,3,0,0,0,0,0,0,0,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,1,0,0,13,1,0,0,1,0,0,0,0,4,0,2,1,7,1,4,2,0,0,0,0,6,0,0,0,0,0,0,0,1,1,4,0,0,4,1,0,0,0,0,0,0,1,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,4,0,2,5,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0
"PR22",0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,2,2,0,0,0,2,0,10,1,0,0,0,0,0,5,0,0,0,6,0,0,0,0,0,6,0,1,3,0,0,0,7,1,0,0,1,7,3,0,0,3,0,0,0,1,0,0,0,0,0,0,0,2,17,1,0,0,0,0,0,0,0,0,8,0,0,0,0,0,1,0,0,0,0,0,4,0,0,0,0,0,0,4,0,0,0,0,0,1,2,0,0,1,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,3,2,0,1,0,1,0,0,0,3,0,2,7,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,5,6,0,0,0,0,0,0,0,0,0,0,0,1,0,4,11,0,0,0,0,0,8,0,0,0,0,0,3,2,0,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,1,3,1,0,0,0,1,0,0,0,0,2,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,4,1,1,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0
"PR23",0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,4,0,0,0,0,0,0,2,1,0,0,7,6,0,0,0,0,0,0,1,14,0,0,0,2,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,1,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0
"PR24",0,1,4,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,12,0,0,0,0,0,0,2,0,0,0,7,0,0,0,1,0,9,0,2,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,13,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,1,0,0,0,0,0,0,0,0,3,2,0,0,0,6,0,0,0,1,0,1,2,0,3,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,5,2,7,0,0,1,0,0,0,0,0,0,0,0,0,0,3,0,0,6,0,0,0,5,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,1,0,0,0,0,3,0,1,0,0,0,0,0,0,0,0,0
"PR25",2,0,9,2,1,0,0,0,0,0,0,0,0,0,0,3,0,1,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3,0,0,1,0,0,4,0,0,0,0,0,0,1,0,0,0,4,0,0,0,1,6,0,0,0,4,0,2,0,3,1,0,0,4,10,0,0,0,0,0,0,0,4,0,0,0,1,0,0,16,0,4,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,4,0,0,0,0,0,0,3,0,0,0,0,7,0,0,0,2,0,8,3,2,0,0,1,1,0,0,8,1,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,7,0,0,0,0,2,0,0,0,3,0,28,0,0,1,1,0,1,0,2,1,0,0,1,2,8,11,0,0,0,0,0,5,0,0,0,0,0,0,0,2,3,6,0,0,8,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,0,0,12,0,0,1,0,2,0,0,0,0,0,5,0,0,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,4,0,0,0,1,0,0,0
"PR28",10,0,1,4,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,1,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,3,3,1,0,0,0,6,0,1,0,6,0,0,2,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,4,1,0,1,2,1,1,0,0,9,0,0,4,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,0,0,0,0,0,1,0,0,4,6,1,1,0,0,0,11,0,0,0,0,0,3,0,0,4,1,0,0,0,0,0,0,0,8,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,2,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,3,0,0,0,0,0,2,2,0,0,1,18,2,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,5,2,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
"PR29",3,0,1,1,0,1,0,0,0,0,0,0,0,0,0,5,0,2,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,12,1,0,0,0,0,0,0,0,1,0,4,0,0,0,1,0,1,0,1,1,0,0,2,0,1,0,0,0,5,0,1,0,6,0,0,0,0,0,0,0,0,0,0,0,1,9,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,5,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,3,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,2,1,1,0,0,1,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,13,0,0,0,0,0,0,0,0,1,0,0,0,1,3,0,0,0,0,0,0,0,0,1,0,0,0,1,2,1,1,2,3,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,2,5,0,0,0,0,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,1,7,0,2,0,0,3,0,3,0,0,0,0,0,0,0,0,0
"PR30",5,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,4,2,0,2,0,0,0,1,4,0,1,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,1,0,11,2,0,0,0,0,1,2,0,0,0,1,1,1,0,0,0,5,0,3,0,0,0,0,0,0,0,0,0,2,6,0,0,7,0,0,0,1,0,0,0,0,0,0,0,0,15,4,1,4,1,1,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,6,0,0,1,0,1,0,6,1,0,2,0,0,3,3,0,0,0,0,0,0,0,0,0,1,1,2,0,0,0,0,1,0,0,0,1,0,0,1,1,0,0,0,5,0,4,0,0,0,0,0,0,2,0,2,1,2,1,0,0,0,3,1,0,0,1,11,0,0,2,1,1,0,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,2,0,1,1,4,1,4,5,1,0,0,0,0,1,2,1,0,0,0,0,0,0,5,0,0,0,0,0,0,1,0,0,0,1,1,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,8,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,6,1,3,0,0,0,0,0,0,0,0,0
"PR33",3,0,2,0,0,0,0,0,0,0,0,0,1,0,0,4,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,4,0,0,0,0,0,0,5,2,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,4,2,0,1,0,0,1,0,0,2,2,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,1,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,1,3,0,2,0,0,0,0,1,0,2,2,10,2,0,2,0,7,1,0,0,0,0,0,1,0,2,0,1,0,1,0,0,1,0,0,0,0,0,1,0,0,4,0,3,0,0,0,1,0,2,1,1,20,0,1,1,2,1,0,0,2,5,0,0,1,4,6,8,2,2,0,0,0,3,0,1,2,2,0,0,3,4,1,3,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,2,0,0,6,8,1,0,0,0,0,2,0,0,1,1,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,4,0,2,0,0,0,0,1,1,0,1,0
"PR36",8,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,4,0,0,0,0,0,2,0,0,0,0,0,0,4,0,0,0,0,1,0,0,3,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,2,0,0,4,0,0,0,2,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,5,0,0,18,0,0,1,0,1,0,0,0,0,1,0,1,0,1,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,2,0,4,0,0,0,0,0,0,0,0,4,4,3,6,1,0,0,9,0,0,0,0,0,0,1,0,2,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,2,1,0,0,0,2,1,2,2,0,0,0,0,0,0,3,6,0,0,0,0,0,2,2,3,0,0,0,0,1,2,0,1,0,0,3,0,0,0,0,0,0,0,1,4,0,0,5,0,0,0,2,1,0,0,0,0,0,0,0,0,0,8,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0
"PR21",1,0,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,4,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,1,0,4,3,0,0,0,0,1,0,0,0,0,0,1,0,3,0,0,0,0,1,0,0,1,0,10,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,8,1,0,0,13,0,0,1,0,0,2,1,0,0,0,0,0,0,1,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,5,1,1,0,0,0,0,1,0,12,1,2,1,0,0,0,2,0,0,0,0,1,4,0,0,3,0,0,0,3,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,1,0,0,1,1,0,4,2,0,0,0,0,0,0,0,1,0,4,0,0,0,1,0,1,0,0,3,0,2,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,1,0,0,0,0,0,0,0,0,1,4,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0
"PR21WUE",2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4,0,0,4,4,0,0,9,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,1,2,0,0,0,0,0,0,13,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,4,0,1,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,7,2,3,0,2,1,0,0,0,0,0,0,0,1,3,1,4,0,0,0,2,0,0,0,0,0,5,2,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,6,2,2,3,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,2,0,0,0,1,0,0,0,12,0,0,0,0,0,0,0,0,5,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,4,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
